station,date,wind-max,wind-avg,percipitation-sum,percipitation,sun,snow,cover,vapour-pressure,baro-pressure,temp-avg,humidity,temp-max,temp-min,temp-floor-min
2667,1957-10-01,8.0,1.8,0.0,0,4.9,0,3.3,7.6,1012.6,5.6,81.0,13.4,1.9,1.3
2667,1957-10-02,4.2,1.5,0.0,0,3.0,0,4.7,8.4,1014.8,5.7,87.0,12.3,1.4,0.1
2667,1957-10-03,10.9,2.7,0.3,1,0.0,0,6.3,9.6,1011.1,8.3,89.0,11.5,0.9,0.1
2667,1957-10-04,8.6,2.1,0.0,0,5.6,0,4.7,7.6,1017.4,5.8,78.0,11.7,2.3,1.7
2667,1957-10-05,6.6,2.4,1.1,1,1.4,0,6.3,8.8,1015.8,9.3,79.0,14.0,-0.8,-1.8
2667,1957-10-06,4.1,1.2,0.1,1,0.0,0,5.3,12.8,1017.2,10.8,95.0,14.0,9.2,10.2
2667,1957-10-07,7.9,2.8,0.0,0,7.6,0,2.0,11.5,1015.8,10.6,86.0,17.3,7.5,6.6
2667,1957-10-08,3.9,1.6,0.0,0,9.2,0,0.0,10.3,1013.5,10.5,81.0,20.5,2.4,1.8
2667,1957-10-09,4.4,2.1,0.1,1,9.2,0,0.0,10.5,1010.4,11.0,81.0,19.7,4.3,3.0
2667,1957-10-10,5.3,1.3,0.0,1,4.4,0,5.7,11.7,1011.1,11.1,88.0,15.5,9.4,7.0
2667,1957-10-11,8.5,2.6,5.6,1,1.9,0,6.0,12.8,1010.2,13.2,85.0,18.7,7.0,5.5
2667,1957-10-12,7.2,1.8,0.0,0,0.0,0,7.3,12.0,1017.5,10.6,89.0,15.1,6.4,10.4
2667,1957-10-13,4.7,1.9,0.3,1,2.9,0,5.3,11.3,1016.0,9.7,94.0,15.2,5.4,5.1
2667,1957-10-14,4.2,1.3,0.0,0,4.6,0,5.0,10.8,1017.4,10.2,86.0,14.9,7.6,7.8
2667,1957-10-15,9.9,4.2,0.0,0,3.5,0,4.3,10.9,1015.9,10.8,82.0,15.3,4.2,1.8
2667,1957-10-16,22.3,5.1,7.9,1,7.9,0,2.0,12.7,1008.7,13.9,81.0,18.6,6.9,5.2
2667,1957-10-17,11.0,2.5,0.6,1,2.1,0,7.7,12.3,1010.3,13.9,78.0,16.5,10.9,10.0
2667,1957-10-18,15.0,5.0,2.1,1,4.7,0,6.0,14.1,1000.6,17.4,71.0,20.1,12.5,12.7
2667,1957-10-19,12.0,2.2,7.0,1,0.0,0,8.0,11.9,1000.6,10.5,91.0,17.4,9.4,10.7
2667,1957-10-20,3.2,1.5,0.0,0,7.5,0,3.0,8.5,1007.9,7.7,78.0,13.4,4.4,5.0
2667,1957-10-21,9.3,4.2,8.6,1,0.1,0,7.0,9.5,1001.4,10.0,79.0,11.8,2.8,1.3
2667,1957-10-22,13.1,3.4,5.5,1,1.3,0,6.0,9.3,995.0,7.7,86.0,10.9,5.9,8.3
2667,1957-10-23,11.2,2.7,0.0,1,2.9,0,6.7,8.3,1005.8,8.4,79.0,12.2,3.0,1.6
2667,1957-10-24,8.1,3.0,0.2,1,0.0,0,8.0,11.6,1012.2,11.3,87.0,12.6,8.9,8.0
2667,1957-10-25,7.6,2.8,0.0,0,4.0,0,5.3,11.7,1013.2,11.6,84.0,16.0,8.6,9.6
2667,1957-10-26,4.0,2.2,0.0,0,4.3,0,3.0,8.9,1011.9,8.4,81.0,15.6,3.8,2.5
2667,1957-10-27,6.6,2.2,0.0,0,3.8,0,7.3,10.5,1009.5,11.2,81.0,14.9,5.6,3.9
2667,1957-10-28,9.9,3.1,0.0,0,0.0,0,7.0,9.9,1009.4,10.7,76.0,13.7,7.9,6.5
2667,1957-10-29,9.4,4.0,0.0,1,0.0,0,7.3,10.9,1007.4,12.6,76.0,14.4,10.1,9.5
2667,1957-10-30,9.5,4.0,0.0,0,2.9,0,7.0,10.5,1005.9,12.7,72.0,16.1,10.3,9.4
2667,1957-10-31,12.0,3.4,2.1,1,0.0,0,7.7,11.2,1004.3,12.4,78.0,13.7,8.8,6.9
2667,1957-11-01,13.8,4.4,0.3,1,4.1,0,5.7,8.8,998.0,9.6,72.0,13.4,7.7,8.9
2667,1957-11-02,11.8,4.6,0.0,0,6.4,0,4.7,7.6,1000.6,7.9,72.0,11.9,4.8,2.4
2667,1957-11-03,17.4,6.5,0.0,1,5.0,0,5.7,8.1,995.9,10.9,64.0,15.0,3.6,0.2
2667,1957-11-04,17.8,6.5,0.0,1,0.0,0,7.0,9.6,992.3,14.0,61.0,15.3,11.4,9.1
2667,1957-11-05,16.1,6.3,0.1,1,0.0,0,7.7,8.9,989.5,11.7,63.0,15.0,10.5,11.4
2667,1957-11-06,9.5,2.7,9.9,1,0.4,0,7.3,9.7,995.9,9.0,83.0,11.5,7.5,5.5
2667,1957-11-07,9.9,2.9,1.4,1,0.0,0,8.0,9.1,998.8,6.5,91.0,8.4,5.2,5.8
2667,1957-11-08,10.8,3.7,12.6,1,0.0,0,8.0,9.1,999.4,6.6,92.0,7.2,3.6,3.2
2667,1957-11-09,10.8,3.4,10.2,1,0.0,0,8.0,8.4,999.5,5.3,95.0,7.0,3.9,4.0
2667,1957-11-10,7.6,2.8,0.0,1,0.0,0,8.0,8.9,997.1,7.4,87.0,8.0,5.6,5.1
2667,1957-11-11,5.5,2.6,0.0,0,0.0,0,8.0,10.0,1005.1,10.4,79.0,12.4,7.3,7.2
2667,1957-11-12,10.9,3.6,0.0,0,0.0,0,5.3,8.4,1016.2,7.9,75.0,11.0,4.8,8.4
2667,1957-11-13,10.4,3.7,0.0,0,0.3,0,7.7,7.1,1017.5,5.8,74.0,7.5,3.4,1.7
2667,1957-11-14,12.8,5.6,0.0,0,0.0,0,8.0,5.5,1016.0,3.8,68.0,5.0,2.2,1.9
2667,1957-11-15,12.0,5.7,0.0,0,4.3,0,3.0,7.3,1016.6,6.1,78.0,9.8,3.0,2.0
2667,1957-11-16,9.3,4.5,1.9,1,2.7,0,7.3,8.8,1018.0,8.2,81.0,10.6,5.2,4.7
2667,1957-11-17,6.0,1.5,0.0,0,4.0,0,3.0,7.9,1018.6,4.5,86.0,9.9,1.4,5.9
2667,1957-11-18,7.9,1.5,0.0,0,1.4,0,6.0,7.5,1018.6,4.0,94.0,7.2,-1.8,-2.5
2667,1957-11-19,10.1,4.3,0.0,0,0.0,0,7.7,5.9,1019.1,3.6,75.0,4.6,3.1,-2.3
2667,1957-11-20,8.6,3.2,0.0,0,0.0,0,7.7,5.2,1023.1,2.5,70.0,3.5,0.9,2.0
2667,1957-11-21,5.8,1.4,0.0,0,0.4,0,7.7,4.8,1021.4,1.7,69.0,3.3,-1.0,0.0
2667,1957-11-22,10.0,3.0,5.0,8,0.0,0,8.0,5.5,1011.1,0.3,87.0,1.0,-0.4,-0.4
